claim,language,label,source,evidence,topic
Priyanka Gandhi protests against Waqf reform,en,1,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.39YX7WD,inflation India
Finance Minstry said that inflation affeceted rich more than poor in 2022,en,0,Alt News,https://www.altnews.in/fact-check-did-finance-ministry-say-richest-facing-more-inflation-than-poorest/,inflation India
The Finance Ministry did not say that inflation affected the rich more than the poor in 2022.,en,1,The Quint,https://www.thequint.com/news/webqoof/pib-fact-check-finance-ministry-inflation-statement,inflation India
"Sri Lankan Central Bank Governor Nandalal Weerasinghe comments on inflation, subsidies, and interest rates",en,1,FACTLY,https://factly.in/no-the-sri-lankan-central-bank-governor-did-not-make-these-comments-about-inflation-and-subsidies/,inflation India
"The viral video shows PM Modi being welcomed in Mauritius in 2025 with the song “Mahangai Dayain Khaaye Jaat Hai,” highlighting inflation and rising prices.",en,1,FACTLY,https://factly.in/this-video-of-pm-modi-being-welcomed-with-an-inflation-song-in-mauritius-is-digitally-edited/,inflation India
Unemployment data for Jan-Mar 2020 is compared with the unemployment rates of July-Sept 2021,en,2,FACTLY,https://factly.in/this-comparison-of-unemployment-rates-before-and-after-the-pandemic-induced-lockdowns-is-misleading/,unemployment India
"Government is giving an allowance of Rs 3,000 per month to unemployed youth under the Pradhan Mantri Berojgari Bhatta Yojana",en,1,FACTLY,https://factly.in/the-union-government-is-not-offering-any-unemployment-allowance-under-the-scheme-pradhan-mantri-berojgari-bhatta-yojana/,unemployment India
"UP has become India's second-richest in terms of gross state domestic product, UP has the lowest unemployment rate, Foreign investors are investing heavily in UP",en,1,Alt News,https://www.altnews.in/misleading-exaggerated-claims-about-ups-unemployment-rate-eodb-and-gsdp-surface/,unemployment India
Ratan Tata said half of India’s population would have become unemployed if he had become an IAS officer,en,1,FACTLY,https://factly.in/ratan-tata-hasnt-stated-half-of-indias-population-would-be-unemployed-if-he-had-become-an-ias-officer/,unemployment India
Uttar Pradesh's unemployment rate has fallen from 18% to 2.9% during Adityanath's tenure.,en,1,Scroll.in,https://scroll.in/article/1026004/fact-check-adityanaths-claim-about-uttar-pradeshs-unemployment-rate-doesnt-add-up,unemployment India
Nirmala Sitharaman said onion price rise doesn’t matter to me.’,en,0,India Today,https://www.indiatoday.in/fact-check/story/fact-check-no-nirmala-sitharaman-never-said-onion-price-rise-doesn-t-matter-to-me-1625618-2019-12-05,onion price India
Photo of pellet victim from 2024 Indian farmers' protests,en,1,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.34K72YE,farmer protest India
Video shows paid protesters in Indian farmers' protest,en,1,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.34KB23G,farmer protest India
PM Modi's effigy tied to a tractor at ongoing farmers' protest,en,1,Alt News,https://www.altnews.in/modi-effigy-tied-to-a-tractor-photo-from-oregon-us-not-related-to-farmers-protest/,farmer protest India
Modified tractors used in Farmers Protest in India,en,1,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.34JN3YX,farmer protest India
The photo shows a bullet piercing through a vessel during the farmers' protests near Delhi.,en,1,The Quint,https://www.thequint.com/news/webqoof/image-bullet-stuck-in-pot-bangladesh-not-2024-farmers-protests-fact-check,farmer protest India
Photo of Indian farmers protesting in New Delhi,en,1,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.34KM74Q,farmer protest India
The video is recent and shows farmers attacking police personnel during the ongoing farmers' protests.,en,1,The Quint,https://www.thequint.com/news/webqoof/people-attacking-police-personnel-streets-farmers-protests-viral-video-nihang-sikhs-fact-check,farmer protest India
Video shows dispute over price for getting hired to participate in the ongoing 2024 farmers' protest.,en,1,The Quint,https://www.thequint.com/news/webqoof/video-of-tractor-sale-falsely-linked-to-2024-farmer-protest-delhi-chalo-fact-check,farmer protest India
"Amidst the ongoing (2024) farmer protests in India, farmers disrespected the Indian flag by tying it to a ball and playing football",en,1,FACTLY,https://factly.in/the-people-disrespecting-the-indian-flag-are-not-farmers-protesting-in-india-but-khalistan-supporters-from-canada/,farmer protest India
Video shows Muslim men removing their skull caps and wearing turbans to impersonate Sikh farmers at the farmer's protest.,en,1,Boom Live,https://www.boomlive.in/fact-check/farmers-protest-skull-cap-muslim-turban-sikh-fact-check-24381,farmer protest India
This video is recent and shows alcohol being distributed during the ongoing farmers' protests.,en,1,The Quint,https://www.thequint.com/news/webqoof/alcohol-being-distributed-farmers-protests-shambhu-border-viral-video-fact-check,farmer protest India
Video shows Indian farmers protest in 2024,en,1,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.34JB7CK,farmer protest India
This video of man withstanding the pressure of a water cannon is from the ongoing farmers' protests around Delhi.,en,1,The Quint,https://www.thequint.com/news/webqoof/man-withstanding-water-cannon-pressure-farmers-protests-viral-video-fact-check,farmer protest India
Photo depicting modified tractors intended for use in the ‘Delhi Chalo’ farmers protest rally in Delhi on 13 February 2024,en,2,FACTLY,https://factly.in/this-viral-image-depicting-modified-tractors-for-the-delhi-chalo-farmers-protest-rally-is-created-using-ai/,farmer protest India
Farmers' protest is getting support in Rajasthan,en,1,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.34KF8RG,farmer protest India
Women screaming at farmers protesting in 2024,en,1,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.34JE6BD,farmer protest India
Video depicting a Sikh man in army uniform making controversial statements during the ongoing farmers’ protest in 2024.,en,2,FACTLY,https://factly.in/old-video-of-man-making-controversial-statements-is-being-shared-attributing-them-to-the-ongoing-farmers-protest-2024/,farmer protest India
This video shows farmers fighting over the fees for participating in the protest.,en,1,India Today,https://www.indiatoday.in/fact-check/story/fact-check-farmers-cutting-a-deal-for-protest-no-video-shows-negotiation-over-tractor-2506713-2024-02-24,farmer protest India
This video shows protesting farmers attacking policemen with swords.,en,1,India Today,https://www.indiatoday.in/fact-check/story/fact-check-farmers-protest-clash-over-bhindrawale-poster-2506379-2024-02-23,farmer protest India
Protesting farmers crush policeman under tractor,en,1,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.34JE8VE,farmer protest India
Video shows man threatening the Modi-led central government from the ongoing farmers' protest.,en,2,BOOM Fact Check,https://www.boomlive.in/fact-check/viral-video-man-threatening-central-government-delhi-pakistan-claim-old-video-social-media-24430,farmer protest India
This video shows alcohol distribution at the “Delhi Chalo” farmers’ protest.,en,1,India Today,https://www.indiatoday.in/fact-check/story/viral-video-alcohol-distribution-not-from-farmers-protest-2504322-2024-02-19,farmer protest India
Photo shows a farmer carrying swords while walking over barricades during the recent protest.,en,1,Boom Live,https://www.boomlive.in/fact-check/viral-photo-farmers-protest-swords-barricades-claim-social-media-24376,farmer protest India
Video shows modified tractors being used by protesting farmers,en,1,BOOM Fact Check,https://www.boomlive.in/fact-check/factcheck-modified-tractor-farmers-protest-police-barricades-delhi-border-fake-news-24339,farmer protest India
The viral photo shows a protest scene of French farmers near the Eiffel Tower.,en,1,India Today,https://www.indiatoday.in/fact-check/story/fact-check-photo-french-farmers-protest-eiffel-tower-ai-generated-2498888-2024-02-07,farmer protest India
Image shows farmers protesting against the farm bills in Delhi demanding the release of JNU student Sharjeel Imam who was booked for unlawful activities.,en,0,India Today,https://www.indiatoday.in/fact-check/story/this-banner-demanding-jnu-student-sharjeel-imam-s-release-is-not-from-ongoing-farmers-protest-1748839-2020-12-11,farmer protest India
Images are from the ongoing farmers' protest against the new farm laws,en,1,The Quint,https://www.thequint.com/news/webqoof/old-images-from-january-2020-and-2018-viral-as-ongoing-farmers-protest,farmer protest India
Videos and pictures of 2020 farmer protests,en,1,Alt News,https://www.altnews.in/a-set-of-old-unrelated-images-and-videos-are-viral-as-recent-farmer-protests/,farmer protest India
Image shows farmer who died during the farmers' protest in Delhi,en,1,The Quint,https://www.thequint.com/news/webqoof/farmers-protest-fact-check-old-image-of-farmers-death-revived-amid-recent-protests,farmer protest India
Video shows a group of Nihang Sikhs attacking a public bus and resorting to violence during the ongoing farmers’ protest.,en,1,India Today,https://www.indiatoday.in/fact-check/story/video-of-nihang-sikhs-attacking-public-bus-is-not-related-to-farmers-protest-1766429-2021-02-05,farmer protest India
Photos related to recent farmers’ protest in Delhi,en,1,FACTLY,https://factly.in/multiple-old-photos-are-being-shared-in-the-context-of-recent-farmers-protest-in-delhi/,farmer protest India
The image shows Shaheen Bagh's Bilkis Dadi who was also seen present during the farmers' protests.,en,1,The Quint,https://www.thequint.com/news/webqoof/mohinder-kaur-misidentified-as-shaheen-baghs-bilkis-dadi-speaks-up,farmer protest India
Rajesh Bhatia of BJP Delhi issued letter to stop farmers protest,en,1,Alt News,https://www.altnews.in/fake-letter-bjp-rajesh-bhatiya-against-farmer-protest/,farmer protest India
Video shows link between ongoing farmers protests and Khalistan movement,en,1,BOOM Fact Check,https://www.boomlive.in/fake-news/2018-video-of-pro-khalistan-rally-in-us-falsely-linked-to-farmers-stir-10999,farmer protest India
A rioter masking as Delhi police during farmers protest,en,1,BOOM Fact Check,https://www.boomlive.in/fact-check/farmers-protests-delhi-police-crackdown-tractor-parade-rally-red-fort-fake-news-fact-check-11826,farmer protest India
Former Indian cricketer MS Dhoni on a tractor shows his support for farmers protest,en,3,AFP Fact Check,https://factcheck.afp.com/old-photo-former-indian-cricketer-mahendra-singh-dhoni-circulates-online-false-claims,farmer protest India
US VP-elect Kamala Harris tweeted criticising Modi govt's handling of farmers protest,en,1,Alt News,https://www.altnews.in/morphed-tweet-of-jack-harris-shared-as-kamala-harris-tweeted-in-support-of-farmer-protest/,farmer protest India
Video of Sikhs attacking bus with swords during farmers' protest,en,1,Alt News,https://www.altnews.in/sudarshan-news-nihang-sikhs-bus-attack-old-video/,farmer protest India
Canadian PM Justin Trudeau taking part in a protest organized in solidarity with the Indian farmers’ protest.,en,1,FACTLY,https://factly.in/old-image-of-trudeaus-visit-to-a-sikh-congregation-is-falsely-linked-to-farmers-protest/,farmer protest India
Picture shows a little girl distributing rotis to farmers during the ongoing farmers' protest at the Delhi borders,en,1,Boom Live,https://www.boomlive.in/fake-news/viral-image-little-girl-distributing-roti-farmers-protest-fact-check-11242,farmer protest India
Photo shows farmers dead amid farmers' protests in Delhi,en,1,The Quint,https://www.thequint.com/news/webqoof/fact-check-2018-photo-revived-as-deceased-farmer-amid-protests-in-delhi,farmer protest India
Farmers set a Jio mobile tower on fire amid Kisan Andolan.,en,1,Boom Live,https://www.boomlive.in/fact-check/old-video-of-mobile-tower-blaze-linked-to-farmers-protest-11386,farmer protest India
Farmers displayed a banner against Lord Ram in the ongoing farmers’ protest,en,1,FACTLY,https://factly.in/old-image-of-a-banner-about-lord-ram-is-being-linked-to-ongoing-farmers-protest/,farmer protest India
Alcohol distributed at farmers' protest,en,1,Alt News,https://www.altnews.in/videos-of-liquor-distribution-at-baba-rodu-shah-in-ludhiana-falsely-linked-to-farmers-protest/,farmer protest India
Image shows Bapu Surat Singh going on hunger strike to support farmers' protests,en,1,The Quint,https://www.thequint.com/news/webqoof/2015-image-of-sikh-activist-falsely-linked-to-farmers-protest,farmer protest India
Protesters holding Pro-Khalistan and anti-India placards in farmer’s protest.,en,2,FACTLY,https://factly.in/old-and-unrelated-images-of-pro-khalistan-protests-are-falsely-linked-to-the-ongoing-farmers-protest/,farmer protest India
Farmer protests hijacked by Muslims,en,1,Alt News,https://www.altnews.in/video-of-mumbai-kisan-rally-falsely-shared-as-farmers-protest-hijacked-by-muslims/,farmer protest India
Amulya Leona Noronha was at farmers protest,en,1,Alt News,https://www.altnews.in/chennai-based-activists-image-shared-as-amulya-noranha-at-farmers-protest/,farmer protest India
President Joe Biden spoke in support of the ongoing farmers' protest in India,en,1,The Quint,https://www.thequint.com/news/webqoof/fact-check-no-joe-biden-didnt-make-a-statement-in-support-for-farmers-protest,farmer protest India
"Amulya Leona, who chanted ‘Pakistan Zindabad’ slogans at Asaduddin Owaisi’s meeting participated in the ongoing farmers’ protests in Delhi",en,1,FACTLY,https://factly.in/this-girl-from-the-farmers-protest-is-not-amulya-leona-who-chanted-pakistan-zindabad-slogans-last-year/,farmer protest India
Kisan rap dedicated to the ongoing farmer's protest,en,0,vishvasnews.com,https://www.vishvasnews.com/english/viral/fact-check-old-video-of-rappers-on-stage-performance-has-no-connection-with-farmers-protest-the-viral-post-is-misleading/,farmer protest India
Bengal in support of farmers' protest,en,1,The Quint,https://www.thequint.com/news/webqoof/old-pic-from-west-bengal-shared-as-protest-in-support-of-farmers,farmer protest India
Mock funeral of PM Modi taken out in Haryana amidst farmer protests,en,1,Alt News,https://www.altnews.in/old-video-of-pm-modis-mock-funeral-staged-in-tamil-nadu-shared-as-haryana/,farmer protest India
Video shows alcohol being served in Farmers protest in delhi,en,1,BOOM Fact Check,https://www.boomlive.in/fact-check/politics/fake-news-farmers-protest-delhi-viral-videos-alcohol-langar-kanuke-kalan-village-baba-rodu-shah-fair-mela-ludhiana-punjab-factcheck-14745,farmer protest India
Photo shows youth at Farmers Protests' demanding release of Kashmiri separatists,en,1,BOOM Fact Check,https://www.boomlive.in/fact-check/factcheck-fake-news-sikh-youth-placard-demanding-release-kashmiri-separatists-farmers-protests-photo-11420,farmer protest India
Sikhs trample on Indian flag during farmers protests on Delhi-Haryana border in 2020,en,1,AFP Fact Check,https://factcheck.afp.com/photo-has-circulated-online-2013-reports-about-protest-london-not-india,farmer protest India
Pro-Khalistan protesters holding placards demanding separate Khalistan in the ongoing farmers protest over farm bills,en,1,FACTLY,https://factly.in/old-and-unrelated-videos-and-images-are-being-shared-linking-them-to-ongoing-farmers-protest/,farmer protest India
Shaheen Bagh dadi Bilkis Bano who had reached Singhu border to join the farmers’ protest on December 1 has since been in jail.,en,1,India Today,https://www.indiatoday.in/fact-check/story/fact-check-shaheen-bagh-dadi-bilkis-bano-is-not-in-jail-for-meeting-farmers-1751731-2020-12-21,farmer protest India
Video of alcohol being distributed at farmers' protest,en,1,The Quint,https://www.thequint.com/news/webqoof/alcohol-distributed-in-ludhiana-linked-to-farmers-protest-fact-check,farmer protest India
Sikh man desecrating the Indian national flag during farmers' protest,en,1,Alt News,https://www.altnews.in/2013-image-from-londan-shared-as-khalistani-supporters-disrespect-indian-flag-during-farmer-protest/,farmer protest India
Coca-Cola has not launched brand campaign in support of the farmers' protest,en,1,Alt News,https://www.altnews.in/coca-cola-india-support-farmer-protest-launch-campaign-false/,farmer protest India
Photo of a child serving langar during 2020 farmers' protest,en,1,Alt News,https://www.altnews.in/at-least-3-yo-photo-viral-as-child-serving-food-during-farmers-protest/,farmer protest India
Christian man disguised as farmer at the farmers' protest,en,1,The Quint,https://www.thequint.com/news/webqoof/old-unrelated-images-of-christian-cleric-viral-amid-farmers-protest,farmer protest India
Congress leader spilled milk on road during farmers' protest,en,1,Alt News,https://www.altnews.in/photo-from-farmers-protest-in-maharashtra-shared-with-false-claim-targets-congress/,farmer protest India
Image shows lakhs of farmers protesting under six degree temperature,en,1,The Quint,https://www.thequint.com/news/webqoof/image-dig-at-prime-minister-is-from-2018-not-recent-farmers-protest,farmer protest India
Photo of the National Geographic magazine cover on recent farmers’ protests in India,en,1,FACTLY,https://factly.in/this-national-geographic-magazine-cover-on-recent-indian-farmers-protest-is-fake/,farmer protest India
"Nazir Mohammed an SDPI worker, dressed as a Sardarji in farmers strike in Hariyaana is arrested this morning",en,1,Alt News,https://www.altnews.in/2011-video-revived-with-false-claim-that-muslim-man-wore-sikh-turban-during-farmer-protest/,farmer protest India
Video shows free alcohol distribution among farmers protesting against the three farm laws.,en,1,India Today,https://www.indiatoday.in/fact-check/story/fact-check-this-video-of-liquor-distribution-is-not-from-farmers-protest-1766842-2021-02-07,farmer protest India
Hathras Victim's sister-in-law came to farmers' protest disguised as a farmer,en,1,The Quint,https://www.thequint.com/news/webqoof/hathras-victim-bhabhi-farmers-protest-fact-check,farmer protest India
This photo shows Indian PM Modi visiting India’s richest family during farmers’ protests in 2020,en,1,AFP Fact Check,https://factcheck.afp.com/image-narendra-modi-mumbai-hospital-has-circulated-online-2014,farmer protest India
"Wrestlers Bajrang Punia, Deepak Punia, Ravi Kumar Dahiya clicked with Rakesh Tikait at farmers' protest",en,1,Alt News,https://www.altnews.in/false-claim-that-gold-medalist-wrestlers-were-seen-in-farmer-protest/,farmer protest India
Police caught hold of a fake Sikh in farmers protest.,en,1,FACTLY,https://factly.in/old-debunked-video-is-being-passed-off-as-police-catching-hold-of-fake-sikh-in-farmers-protest/,farmer protest India
Pictures of farmer protest during 'Dilli Chalo' march of 2020,en,1,Alt News,https://www.altnews.in/congress-leaders-shared-2018-images-of-farmer-protest-as-recent/,farmer protest India
Twitter account of actor Naseeruddin Shah supporting farmers' protest,en,1,Alt News,https://www.altnews.in/fake-twitter-accounts-created-in-actor-naseeruddin-shahs-name/,farmer protest India
Indian Army deployed to crush farmers' protest,en,1,Alt News,https://www.altnews.in/army-pro-denies-viral-claim-of-troops-artillery-deployed-in-delhi-to-quash-farmers-protest/,farmer protest India
Image of bullock cart rally is of the ongoing farmers' protest,en,1,The Quint,https://www.thequint.com/news/webqoof/old-pic-of-congress-rally-in-mp-falsely-linked-to-farmers-protest-fact-check,farmer protest India
Police broke CCTV during farmers protest,en,3,NewsMobile,https://www.newsmobile.in/trending-now/fact-check-this-video-of-policeman-breaking-cctv-camera-is-not-from-recent-farmers-protest/,farmer protest India
Clip from Farmers protest in Delhi showing Pro-Khalistan slogans being raised,en,1,BOOM Fact Check,https://www.boomlive.in/fake-news/2016-video-of-pro-khalistan-rally-falsely-linked-to-farmers-protests-11058,farmer protest India
Sikh protesters raising pro-Khalistan slogans and making anti-India comments during the ongoing farm protests,en,1,FACTLY,https://factly.in/old-and-unrelated-videos-are-being-passed-off-linking-them-to-the-ongoing-farmers-protest/,farmer protest India
Youth at farmers' protest holds up placard demanding release of separatist Kashmiri leaders.,en,1,India Today,https://www.indiatoday.in/fact-check/story/fact-check-placard-seeking-release-of-kashmiri-separatists-is-not-from-farmers-protest-1756164-2021-01-05,farmer protest India
Photo shows a protestor at the farmers' protest holding a pro-Khalistani placard.,en,1,Boom Live,https://www.boomlive.in/fake-news/2013-photo-of-pro-khalistan-banners-linked-to-farmers-protest-10989,farmer protest India
Photo of a farmer’s head injured during a recent lathicharge at farmers’ protest,en,2,FACTLY,https://factly.in/photo-of-an-injured-cow-vigilante-shared-as-a-farmers-injured-head-in-a-lathicharge-at-farmers-protest/,farmer protest India
Pro-Pakistan Pro-Khalistan slogans raised at farmers' protest in Delhi,en,1,The Quint,https://www.thequint.com/news/webqoof/pro-pakistan-pro-khalistan-slogans-farmers-protest-fact-check,farmer protest India
Policeman pointing a gun at farmer during farmer protests,en,1,Alt News,https://www.altnews.in/congress-member-shares-2013-image-from-merrut-as-recent-farmer-protest/,farmer protest India
Clip shows police did not lathi-charge elderly man during Farmers' Protest,en,1,BOOM Fact Check,https://www.boomlive.in/fake-news/i-am-right-here-if-they-want-to-see-my-injuries-lathi-charged-farmer-10933,farmer protest India
Bapu Surat Singh on hunger strike for 2020 farmers' protest,en,1,Alt News,https://www.altnews.in/2015-images-of-bapu-surat-singh-shared-as-he-is-on-hunger-strike-for-farmers/,farmer protest India
"The Winter 2020 edition of National Geographic magazine is dedicated to the farmer's protest, with a cover image of a farmer wearing a turban.",en,1,India Today,https://www.indiatoday.in/fact-check/story/fact-check-fake-national-geographic-magazine-cover-featuring-farmers-protest-goes-viral-1756171-2021-01-05,farmer protest India
Photo shows oil being thrown at Haryana CM Manohar Lal Khattar during farmers' protest.,en,1,The Quint,https://www.thequint.com/news/webqoof/old-image-oil-thrown-on-haryana-cm-khattar-revived-amid-farmers-protests,farmer protest India
Khalishan movement linked with farmers protest,en,1,Alt News,https://www.altnews.in/old-video-of-pro-khalistan-rally-in-us-linked-with-farmers-protest/,farmer protest India
Viral video shows Jio mobile tower burning in Punjab as part of farmers' protest,en,1,The Quint,https://www.thequint.com/news/webqoof/old-video-from-dehradun-viral-as-jio-tower-burning-in-punjab,farmer protest India
Photo of the Bullock-cart rally organized in support of farmers protesting against the new farm laws,en,1,FACTLY,https://factly.in/unrelated-old-photos-and-videos-are-falsely-linked-to-the-ongoing-farmers-protest/,farmer protest India
Video of Delhi residents rally in support of Police and government amidst farmers’ protest,en,1,FACTLY,https://factly.in/old-video-shared-as-delhi-people-rally-in-support-of-police-and-government-amidst-farmers-protest/,farmer protest India
Video shows rehearsal for the January 26 tractor rally to be taken out by farmers protesting against the new farm laws.,en,1,India Today,https://www.indiatoday.in/fact-check/story/fact-check-no-this-is-not-a-rehearsal-by-protesting-farmers-for-january-26-tractor-rally-1759432-2021-01-15,farmer protest India
Photo shows National Geographic Magzine's cover photo on farmers' protests,en,1,Boom Live,https://www.boomlive.in/fact-check/fact-check-fake-news-fake-national-geographic-cover-magazine-foreign-press-farmers-protests-11399,farmer protest India
Anti-Hindu slogans and banners against Lord Ram were raised at the ongoing farmers’ protest near Delhi.,en,0,India Today,https://www.indiatoday.in/fact-check/story/fact-check-banner-against-lord-ram-not-from-ongoing-farmers-protest-1746189-2020-12-02,farmer protest India
Shaheen Bagh Dadi Bilkis Bano took part in farmers protest,en,1,Alt News,https://www.altnews.in/shaheen-bagh-dadi-at-recent-farmers-protest-no-photo-of-elderly-woman-from-october/,farmer protest India
Clip shows pro-Khalistan slogans raised at a farmers' protests in London,en,1,BOOM Fact Check,https://www.boomlive.in/fake-news/farmers-protests-clip-of-2019-pro-khalistan-rally-in-us-revived-11099,farmer protest India
Ravish Kumar heading to eat biryani in farmers protest,en,1,The Quint,https://www.thequint.com/news/webqoof/image-of-ravish-kumar-from-2018-kisan-march-rally-shared-as-recent,farmer protest India
Chandigarh police forcefully dragged elderly woman in farmers protest,en,1,The Quint,https://www.thequint.com/news/webqoof/chandigarh-police-did-not-drag-old-woman-in-farmers-protest-old-photo-from-patiala-punjab,farmer protest India
"Image shows farmers protest in Haryana held on September 10, 2020, against three agriculture ordinances passed by the Central government.",en,0,India Today,https://www.indiatoday.in/fact-check/story/viral-image-rally-rajasthan-recent-haryana-protest-1721187-2020-09-12,farmer protest India
"Modi government has launched ‘Scooty Yojana’ scheme to distribute scooters to all the girls across the country, who passed 10th standard.",en,1,FACTLY,https://factly.in/there-is-no-such-scooty-yojana-scheme-launched-by-the-modi-government/,Modi government scheme
"Images prove that Kanhaiya Kumar voted in Delhi during the 2024 Lok Sabha elections and again in Begusarai, Bihar, during the 2025 Assembly polls.",en,2,Newschecker,https://newschecker.in/bihar-assembly-election-2025/heres-the-truth-behind-viral-photos-claiming-kanhaiya-kumar-voted-in-delhi-and-bihar,India election 2024
"Jawaharlal Nehru and Indira Gandhi, who previously contested various Lok Sabha elections as Prime Ministers, won with a smaller majority than Narendra Modi’s majority in the 2024 Lok Sabha elections",en,2,FACTLY,https://factly.in/comparing-the-majorities-secured-by-jawaharlal-nehru-and-indira-gandhi-in-past-lok-sabha-elections-with-narendra-modis-majority-in-2024-is-not-appropriate/,India election 2024
Narendra Modi and Rajnath Singh officially entered Marg Darshak Mandal after Lok Sabha 2024 election.,en,1,BOOM Fact Check,https://www.boomlive.in/fact-check/fake-news-margdarshak-mandal-narendra-modi-rajnath-singh-lok-sabha-2024-fact-check-25629,India election 2024
BJP received only 201 votes in Lakshadweep in 2024 Lok Sabha Elections.,en,1,The Quint,https://www.thequint.com/news/webqoof/bjp-candidate-lakshadweep-only-201-votes-viral-post-fact-check,India election 2024
"This video shows Muslim women waiting in line for the ‘Mahalakshmi Scheme’ money, as promised by the Congress party in 2024 Lok Sabha elections",en,1,FACTLY,https://factly.in/a-video-from-2020-is-falsely-shared-as-visuals-of-women-standing-in-line-to-withdraw-the-congresss-mahalakshmi-scheme-money/,India election 2024
"In the 2024 Lok Sabha elections, there is a discrepancy between the votes polled and the votes counted in the Electronic Voting Machines (EVM) in Varanasi.",en,1,FACTLY,https://factly.in/an-old-video-of-a-man-alleging-vote-mismatch-in-varanasi-is-now-being-falsely-shared-in-the-context-of-the-2024-lok-sabha-elections-results/,India election 2024
"Prominent leaders such as Navaneet Rana, Madhavi Latha and Kanhaiya Kumar lost the 2024 Lok Sabha election by a margin of 19,731 votes.",en,1,FACTLY,https://factly.in/this-news-clip-showing-multiple-leaders-losing-by-19731-votes-is-digitally-altered/,India election 2024
Video of Tamil Nadu BJP chief K Annamalai crying after losing the 2024 Lok Sabha polls.,en,2,FACTLY,https://factly.in/an-old-video-of-annamalai-is-now-falsely-shared-as-him-crying-after-losing-the-2024-lok-sabha-elections/,India election 2024
"In the 2024 Lok Sabha elections, 110 Muslims were elected as Members of Parliament.",en,1,DigitEye India,https://digiteye.in/did-110-muslims-get-elected-as-mps-in-2024-lok-sabha-elections-fact-check/,India election 2024
110 Muslim candidates were elected as Members of Parliament (MPs) in the 2024 Lok Sabha Elections.,en,1,The Quint,https://www.thequint.com/news/webqoof/110-muslim-member-of-parliament-elected-2024-lok-sabha-elections-viral-claim-fact-check,India election 2024
"An infographic in a Hindi newspaper showing that four high-profile candidates lost by the same margin of 19,731 votes, which proves that the EVMs were tampered during the recently concluded 2024 Lok Sabha elections.",en,1,Newschecker,https://newschecker.in/election-watch/multiple-candidates-lost-by-same-margin-eci-data-contradicts-viral-claim,India election 2024
BJP has won 30 seats with a margin of less than 500 and 100 seats with a margin of less than 1000 votes in the 2024 Lok Sabha elections.,en,1,Alt News,https://www.altnews.in/no-bjp-has-not-won-thirty-seats-with-less-than-five-hundred-votes-smallest-margin-1587-in-jajpur/,India election 2024
Video shows JD(U) leader Nitish Kumar meeting leaders of the INDIA bloc after the Lok Sabha 2024 elections results.,en,1,boomlive.in,https://www.boomlive.in/fact-check/nitish-kumar-india-alliance-nda-modi-bjp-lok-sabha-elections-results-2024-25578,India election 2024
"In Varanasi, the number of votes counted in EVMs exceeded the number of votes cast in the recent 2024 Lok Sabha elections",en,1,BOOM Fact Check,https://www.boomlive.in/fact-check/old-video-claiming-evms-in-varanasi-counted-extra-votes-peddled-as-recent-25573,India election 2024
The BJP won 30 seats with a margin of less than 500 votes and over 100 seats with a margin of less than 1000 votes in the 2024 Lok Sabha elections.,en,1,FACTLY,https://factly.in/the-lowest-victory-margin-for-a-bjp-candidate-in-the-2024-lok-sabha-elections-is-1587-votes/,India election 2024
Pakistan’s National flag was waved in Amravati during the Congress party’s victory celebration rally after the results of the 2024 Lok Sabha elections,en,1,FACTLY,https://factly.in/an-edited-photo-is-shared-falsely-claiming-that-a-pakistan-flag-was-waved-during-the-victory-celebrations-of-the-congress-party-in-amravati/,India election 2024
"Amid the 2024 Lok Sabha election results, Chandrababu Naidu recently met with I.N.D.I.A. bloc leaders to discuss joining their alliance.",en,1,FACTLY,https://factly.in/old-photos-of-tdp-chief-chandrababu-naidu-meeting-i-n-d-i-a-bloc-leaders-are-being-shared-as-recent-amid-the-2024-election-results/,India election 2024
"The BJP won by a margin of less than 500 votes in 30 seats, and less than 1,000 votes in 100 constituencies in the 2024 Lok Sabha Polls.",en,1,Newschecker,https://newschecker.in/election-watch/did-bjp-win-100-constituencies-with-a-margin-of-less-than-1000-votes,India election 2024
Video shows the people of Andhra Pradesh burning a photo of N Chandrababu Naidu for forming an alliance with Modi after the 2024 Lok Sabha elections.,en,1,Boom Live,https://www.boomlive.in/fact-check/chandrababu-naidu-tdp-photo-burnt-andhra-pradesh-lok-sabha-elections-25554,India election 2024
Photos of Nitish Kumar meeting with I.N.D.I.A. bloc leaders after the 2024 Lok Sabha election results.,en,1,FACTLY,https://factly.in/old-photos-of-nitish-kumar-meeting-india-bloc-leaders-shared-as-recent/,India election 2024
Photo of a vote counting report card showing that K. Annamalai received only one vote in a booth in the Coimbatore parliamentary constituency in the 2024 Lok Sabha election.,en,1,FACTLY,https://factly.in/an-edited-photo-is-being-shared-falsely-claiming-that-annamalai-received-only-one-vote-in-a-polling-booth-in-the-2024-lok-sabha-elections/,India election 2024
